날짜,상품1,상품2,상품3,상품4,상품5,상품6,상품7
2018-05-15,2,40,8,19,0,0,69
2018-05-16,8,2,21,5,0,0,36
2018-05-17,10,12,25,14,0,0,61
2018-05-18,10,3,5,7,0,0,25
2018-05-21,6,4,7,7,0,0,24
2018-05-23,2,4,3,2,0,0,11
2018-05-24,-4,39,4,0,0,0,39
2018-05-25,52,1,31,31,0,0,115
2018-05-28,1,0,3,-1,,,3
2018-05-29,7,,6,6,,,19
2018-05-30,,,1,1,,,2
2018-05-31,,1,,,,,1
2018-06-01,6,,4,,,,10
2018-06-04,1,,1,,,,2
2018-06-05,0,3,4,2,0,0,9
2018-06-08,1,,,,,,1
2018-06-11,-1,4,8,8,,,19
2018-06-12,,11,,5,,,16
2018-06-19,,,,1,,,1
2017-06-19,2,,,,,,2
2018-05-23,,40,21,21,45,45,172
2018-05-24,1,1,33,24,0,0,59
2018-05-25,51,42,117,97,20,44,371
2018-05-28,29,177,135,322,36,108,807
2018-05-29,30,175,41,154,0,0,400
2018-05-30,256,291,351,298,22,87,1305
2018-05-31,8,9,153,117,93,213,593
2018-06-01,0,134,26,67,23,0,249
2018-06-04,13,45,35,87,0,0,180
2018-06-05,45,55,97,93,0,0,290
2018-06-07,14,92,75,99,0,0,280
2018-06-08,20,53,10,22,,,105
2018-06-11,87,20,16,34,0,0,157
2018-06-12,47,6,9,23,0,0,85
2018-06-14,9,22,31,13,4,0,79
2018-06-15,5,25,4,48,0,0,82
2018-06-18,41,7,6,22,0,0,76
2018-06-19,6,4,8,18,0,0,36
2018-06-20,7,104,20,29,,,160
2018-06-21,0,4,5,4,0,0,13
2018-06-22,,2,22,,,,24
2018-06-25,10,1,3,0,0,0,14
2018-06-26,1,54,5,45,,,65
2018-06-27,,,1,1,,,2
2018-06-28,37,35,,9,,,81
2018-07-04,,1,1,,,,2
2018-07-05,4,1,1,0,0,0,6
2018-07-06,,,5,1,,,6
2018-07-11,1,8,,1,,,10
2018-07-13,,6,,,,,6
2018-07-16,,1,,4,,,5
2018-07-23,2,,,,,,2
2018-07-27,,,,2,,,2
2018-08-06,0,0,0,0,0,0,0
2018-08-14,1,,,,,,1
2018-10-01,0,0,0,0,0,0,0
2018-06-21,,1,,,,,
2018-06-22,,60,100,40,,,200
2018-06-25,31,37,137,169,97,100,570
2018-06-26,43,92,113,50,0,0,298
2018-06-27,94,170,389,97,0,22,772
2018-06-28,213,233,405,222,198,0,1271
2018-06-29,36,68,256,75,120,19,574
2018-07-02,13,223,171,152,47,0,606
2018-07-03,35,84,357,30,63,0,569
2018-07-04,10,17,28,19,0,0,74
2018-07-05,48,27,61,20,0,0,156
2018-07-06,19,23,44,11,0,0,97
2018-07-09,38,18,8,15,0,0,79
2018-07-10,5,62,65,38,0,0,170
2018-07-11,74,24,9,16,0,0,123
2018-07-12,,10,2,18,0,0,30
2018-07-13,4,19,19,12,0,0,54
2018-07-16,15,1,18,16,0,0,50
2018-07-17,1,,5,11,,,17
2018-07-18,11,3,11,9,0,0,34
2018-07-19,1,4,31,8,0,0,44
2018-07-20,67,16,19,19,,,121
2018-07-23,16,3,7,6,42,0,74
2018-07-24,-65,69,14,5,0,0,23
2018-07-25,1,1,1,15,,,18
2018-07-26,52,13,19,5,0,0,89
2018-07-27,,,,10,,,10
2018-07-30,,,7,2,,,9
2018-07-31,0,0,0,1,0,0,1
2018-08-06,0,33,1,6,0,0,40
2018-08-07,,,,1,,,1
2018-08-08,,,2,9,,,11
2018-08-14,,,10,,,,10
2018-08-16,1,,,,,,1
2018-08-17,,1,1,,,,2
2018-08-21,0,0,2,2,0,0,4
2018-08-23,,,1,,,,1
2018-07-03,,,,,31,,31
2018-07-19,,,,,,,
2018-07-20,,324,32,120,,,476
2018-07-23,50,119,36,123,120,0,448
2018-07-24,0,15,31,17,149,0,212
2018-07-25,94,61,163,172,162,0,652
2018-07-26,19,62,79,60,0,0,220
2018-07-27,182,260,362,183,32,0,1018
2018-07-30,70,102,90,67,0,0,328
2018-07-31,4,23,15,28,0,0,70
2018-08-06,37,56,262,95,0,0,450
2018-08-07,69,18,77,63,0,0,227
2018-08-08,28,6,13,26,0,0,73
2018-08-09,2,14,58,8,0,0,82
2018-08-10,5,1,16,8,0,0,30
2018-08-13,16,31,20,21,0,0,88
2018-08-14,4,14,5,4,0,0,26
2018-08-16,8,3,3,4,0,0,18
2018-08-17,3,6,3,15,0,0,27
2018-08-20,6,7,45,4,,,62
2018-08-21,3,4,4,1,0,0,10
2018-08-22,1,1,9,43,0,0,54
2018-08-23,2,56,22,30,0,0,110
2018-08-24,1,14,1,4,0,0,20
2018-08-27,0,2,21,0,0,0,23
2018-08-28,19,14,40,0,0,0,73
2018-08-29,3,24,8,0,0,0,35
2018-08-30,6,0,0,0,0,0,6
2018-09-03,3,,,,,,3
2018-09-04,,2,11,,,,13
2018-09-05,0,2,0,0,0,0,2
2018-09-27,0,0,0,0,0,0,0
2018-10-01,0,0,0,0,0,0,0
2018-08-21,1,1,1,1,0,0,4
2018-08-22,20,0,95,53,165,144,477
2018-08-23,16,21,27,23,0,0,87
2018-08-24,0,1,40,1,0,0,42
2018-08-27,84,93,246,183,131,0,737
2018-08-28,25,39,65,53,16,0,198
2018-08-29,202,491,448,290,40,78,1549
2018-08-30,30,229,185,153,112,112,821
2018-08-31,64,47,144,55,23,10,343
2018-09-03,34,40,71,39,17,40,241
2018-09-04,71,22,78,44,0,0,215
2018-09-05,23,63,67,96,0,0,249
2018-09-06,4,3,248,154,0,46,455
2018-09-07,65,151,168,54,4,1,443
2018-09-10,9,84,3,92,1,0,189
2018-09-11,19,154,53,15,0,0,241
2018-09-12,19,9,,15,,,43
2018-09-13,23,42,0,35,0,0,100
2018-09-14,2,21,-3,0,0,0,20
2018-09-17,7,7,0,26,0,0,40
2018-09-18,1,3,,1,,,5
2018-09-19,20,220,73,81,,,394
2018-09-27,13,10,0,2,0,0,25
2018-09-28,0,5,0,0,0,0,5
2018-10-01,60,2,0,14,0,0,76
2018-10-08,0,0,0,0,0,0,0
2018-10-10,,5,,,,,5
2018-10-19,,2,,,,,2
2018-11-08,,4,,,,,4
2018-10-24,8,,1,,,,9
2018-09-17,,,35,101,183,91,410
2018-09-19,,,42,4,,,46
2018-09-20,7,,15,10,,,32
2018-09-27,135,91,262,249,129,127,993
2018-09-28,64,119,221,81,0,45,530
2018-10-01,246,221,382,293,54,0,1196
2018-10-02,16,56,29,44,0,0,145
2018-10-04,91,70,135,87,98,74,555
2018-10-05,62,104,27,313,0,0,506
2018-10-08,59,9,63,46,0,0,177
2018-10-10,43,20,21,61,0,0,145
2018-10-11,38,35,4,63,0,0,140
2018-10-12,2,21,15,14,,,52
2018-10-15,22,29,13,76,0,0,140
2018-10-16,4,5,30,36,,,75
2018-10-17,25,16,10,15,0,0,66
2018-10-18,13,2,5,7,0,0,27
2018-10-19,17,3,2,12,0,0,34
2018-10-22,11,8,6,1,0,0,26
2018-10-23,3,33,4,,,,40
2018-10-25,5,5,,,,,10
2018-10-26,,-1,,2,,,1
2018-10-30,,2,,,,,2
2018-10-31,2,,3,,,,5
2018-11-01,,2,-3,,,,-1
2018-11-02,,1,,,,,1
2018-11-05,7,4,4,,,,15
2018-11-07,3,,-3,,,,0
2018-11-08,,,1,3,,,4
2018-11-09,,-1,,,,,-1
2018-11-12,,1,,,,,1
2018-11-16,1,0,0,0,0,0,1
2018-12-03,,2,,,,,2
2018-12-05,2,0,2,0,0,0,4
2018-10-18,,140,,20,,,160
2018-10-22,0,15,1,21,0,0,37
2018-10-23,9,323,34,30,40,21,457
2018-10-25,49,171,162,157,22,61,622
2018-10-26,11,11,38,23,20,0,103
2018-10-29,398,208,326,204,0,0,1136
2018-10-30,42,141,169,194,42,116,704
2018-10-31,42,214,113,177,18,36,600
2018-11-01,77,21,223,28,161,0,510
2018-11-02,38,204,213,31,82,95,663
2018-11-05,81,31,157,92,0,0,360
2018-11-06,30,23,118,23,0,0,194
2018-11-07,4,5,47,20,0,0,76
2018-11-08,1,14,12,12,0,0,39
2018-11-09,19,37,18,5,0,0,79
2018-11-12,43,55,81,21,0,0,200
2018-11-13,1,2,40,7,0,20,70
2018-11-14,13,4,19,16,0,0,52
2018-11-15,12,7,34,0,0,0,53
2018-11-16,10,8,22,3,0,0,43
2018-11-19,3,5,2,0,0,0,10
2018-11-20,7,1,5,1,,,13
2018-11-21,66,2,16,42,0,0,126
2018-11-22,6,3,3,6,0,0,18
2018-11-23,0,4,6,6,0,0,16
2018-11-26,2,4,,2,,,8
2018-11-27,,3,,1,,,4
2018-11-28,,,,4,,,4
2018-11-30,0,1,1,1,0,0,3
2018-12-03,3,,,,,,
2018-12-06,2,,,2,,,4
2018-12-10,,,1,,,,1
2018-12-11,,,,5,,,5
2018-12-12,6,,3,,,,9
2018-12-13,,,,1,,,1
2018-12-14,,,,2,,,2
2018-12-17,1,,,1,,,2
2018-12-19,,,-2,,,,-2
2018-12-31,,,1,,,,1
2018-01-04,,,,4,,,4
2018-01-08,,,,6,,,6
2018-12-04,218,102,79,133,34,0,565
2018-12-26,3,22,0,12,0,0,37
2018-01-09,,,,3,,,3
2018-01-12,,,,16,,,16
2018-12-05,33,25,64,21,0,42,185
2018-01-16,,,1,,,,1
2018-01-22,0,0,1,,0,0,1
2018-11-19,,20,,,,,20
2018-11-21,0,0,0,7,0,0,7
2018-11-22,0,0,33,31,39,19,122
2018-11-23,7,71,89,44,61,0,272
2018-11-26,61,257,107,254,0,35,740
2018-11-27,24,39,33,18,0,34,148
2018-11-28,236,438,486,318,104,113,1697
2018-11-29,23,28,99,133,14,18,315
2018-11-30,30,72,39,29,0,50,220
2018-12-03,31,30,40,11,0,0,112
2018-12-06,10,38,37,49,0,40,164
2018-12-07,19,12,15,5,,,51
2018-12-10,24,20,15,39,0,0,98
2018-12-11,83,35,44,35,0,0,197
2018-12-12,15,2,7,16,0,0,40
2018-12-13,3,8,6,8,0,0,25
2018-12-14,3,2,0,0,0,0,5
2018-12-17,19,15,10,17,0,0,59
2018-12-18,5,68,7,4,0,0,84
2018-12-19,5,22,50,24,0,0,101
2018-12-20,11,7,20,6,0,0,43
2018-12-21,6,11,0,-24,0,0,-7
2018-12-24,6,5,3,2,0,0,16
2018-12-28,7,0,1,1,0,0,9
2018-12-31,,,14,9,,,23
2019-12-28,,1,,,,,1
2018-12-26,25,61,216,101,184,80,667
2018-12-13,,,,32,,,32
2018-12-19,,,,130,,,130
2018-12-20,,,,4,,,4
2018-12-21,,100,,20,,,120
2018-12-24,,,,,,,
2018-12-27,7,67,55,69,0,0,198
2018-12-28,54,131,252,132,38,58,668
2018-12-31,29,12,58,24,0,0,122
2019-12-28,4,8,17,9,,,38
2019-12-26,,,1,,,,1
2019-12-23,,,1,,,,1
2017-01-02,1,1,,1,,,3
2019-01-02,224,256,343,285,17,0,1125
2019-01-03,49,9,73,57,15,0,203
2019-01-04,13,49,24,30,0,0,116
2019-01-07,21,16,51,40,0,5,133
2019-01-08,3,11,37,31,0,0,82
2019-01-09,33,23,43,47,0,0,146
2019-01-10,22,98,232,12,0,0,364
2019-01-11,6,7,10,14,0,0,37
2019-01-14,28,11,91,23,0,0,152
2019-01-15,5,4,11,6,0,0,26
2019-01-16,8,17,7,6,0,0,38
2019-01-17,3,26,50,3,,,82
2019-01-18,4,7,6,2,0,0,19
2019-01-21,10,6,9,5,0,0,30
2019-01-22,11,10,8,3,0,0,32
2019-01-23,12,5,13,4,0,0,34
2019-01-24,4,11,27,9,0,0,51
2019-01-25,,,3,,,,3
2019-01-28,,3,2,21,,,26
2019-01-29,21,-3,,8,,,26
2019-02-07,2,2,3,1,0,0,8
2019-02-12,1,,1,,,,2
2019-02-14,0,0,1,0,0,0,1
2019-02-18,,1,,,,,1
2019-02-20,,,2,,,,2
2019-03-05,,,1,,,,1
2019-03-11,,1,,,,,1
2019-01-16,,,31,,,,31
2019-01-21,,,,,,,
2019-01-22,,,,,,,
2019-01-23,7,69,131,90,0,0,297
2019-01-24,18,102,181,115,0,126,542
2019-01-25,8,31,25,29,0,0,93
2019-01-28,245,194,383,155,0,13,987
2019-01-29,45,75,71,119,0,0,310
2019-01-30,20,35,90,48,0,0,193
2019-01-31,0,12,11,12,0,0,35
2019-02-01,,,,,,,
2019-02-07,73,104,168,53,0,0,398
2019-02-08,16,8,40,17,0,0,81
2019-02-11,6,-4,228,30,0,0,260
2019-02-12,22,22,23,15,0,0,82
2019-02-13,7,4,20,23,0,0,54
2019-02-14,5,3,11,7,0,0,26
2019-02-15,1,6,4,16,,,27
2019-02-18,24,21,32,30,0,0,107
2019-02-19,-4,3,1,2,0,0,2
2019-02-20,2,8,4,2,,,16
2019-02-21,27,9,9,9,0,0,54
2019-02-22,1,2,2,0,0,0,5
2019-02-25,4,1,1,9,0,0,15
2019-02-26,4,2,1,,,,7
2019-02-27,,,1,1,,,2
2019-02-28,4,5,3,,,,12
2019-03-04,22,,55,7,,44,128
2019-03-06,1,,,,,,1
2019-03-07,0,0,0,0,0,63,63
2019-03-11,0,0,0,0,0,0,0
2019-03-12,21,,,,,,21
2019-03-14,,,1,,,,1
2019-03-18,,1,,1,,,2
2019-03-19,,,1,,,,1
2019-03-20,1,0,0,27,0,0,28
2019-03-22,20,,9,,,20,49
2019-03-25,,,,4,,,4
2019-03-26,0,0,0,0,0,0,0
2019-03-28,,,3,,,,
2019-03-29,,1,,,,,1
2019-04-01,,3,,,,,3
2019-04-03,,,,1,,,1
2019-06-28,0,0,0,0,0,0,0
2019-02-20,,,,,,,
2019-02-21,,,,,,,
2019-02-22,,,,,,,
2019-02-25,56,53,210,183,238,195,935
2019-02-26,7,48,104,125,148,108,540
2019-02-27,89,190,386,204,19,24,912
2019-02-28,7,106,73,78,7,0,271
2019-03-04,96,81,148,156,42,0,523
2019-03-05,76,45,86,94,20,22,343
2019-03-06,23,11,62,80,0,0,176
2019-03-07,8,14,139,9,98,16,285
2019-03-08,194,40,192,183,0,85,695
2019-03-11,180,20,225,319,5,94,843
2019-03-12,363,79,84,79,8,12,625
2019-03-13,13,14,8,118,0,0,153
2019-03-14,86,29,37,212,0,0,363
2019-03-15,6,43,-22,44,1,1,73
2019-03-18,17,63,32,23,,,135
2019-03-19,15,2,7,16,0,0,38
2019-03-20,4,8,14,28,0,0,52
2019-03-21,9,16,2,12,0,0,39
2019-03-22,,2,2,1,,,5
2019-03-25,5,0,13,1,0,31,50
2019-03-26,-2,26,8,57,0,0,87
2019-03-27,3,,,14,,,17
2019-03-28,0,1,0,2,0,0,3
2019-03-29,40,0,4,21,0,0,65
2019-04-01,26,,3,14,,,43
2019-04-02,2,4,0,0,0,0,6
2019-04-03,6,0,5,0,0,0,11
2019-04-04,,2,3,1,,,6
2019-04-09,,1,1,2,,,4
2019-04-10,,,1,,,,1
2019-04-11,1,0,18,0,0,0,19
2019-04-05,75,1,,44,,,120
2019-04-08,1,,3,1,,,5
2019-04-12,-39,,,,,,-39
2019-04-15,1,0,2,2,0,0,5
2019-04-16,32,10,1,,,,43
2019-04-17,0,3,1,2,0,0,6
2019-04-18,,,1,1,,,2
2019-04-22,,,22,0,0,0,22
2019-04-23,,4,,,,,4
2019-04-24,0,1,8,0,0,0,9
2019-05-02,,,1,,,,1
2019-05-13,,,1,,,,1
2019-03-25,67,21,77,81,105,65,416
2019-03-26,104,77,173,125,101,53,633
2019-03-27,17,31,132,73,0,0,253
2019-03-28,138,255,404,222,121,130,1270
2019-03-29,89,37,303,115,59,0,603
2019-04-01,105,46,200,219,87,60,717
2019-04-02,15,39,43,49,0,118,264
2019-04-03,83,54,82,52,0,0,271
2019-04-04,9,13,13,19,0,0,54
2019-04-09,74,79,74,64,0,41,332
2019-04-10,48,12,94,70,0,0,224
2019-04-11,3,43,6,2,0,0,54
2019-04-05,28,8,28,55,0,0,119
2019-04-08,19,19,30,66,0,0,134
2019-04-12,3,-19,10,23,0,0,17
2019-04-15,18,15,50,57,0,2,142
2019-04-16,5,2,7,8,0,0,22
2019-04-17,22,2,8,8,0,0,40
2019-04-18,2,0,20,2,0,0,24
2019-04-19,3,42,3,8,0,0,56
2019-04-22,2,6,0,14,0,0,22
2019-04-23,2,2,10,7,,,21
2019-04-24,2,3,2,3,0,0,10
2019-04-25,35,,31,1,,,67
2019-04-26,28,1,1,18,,,48
2019-04-29,4,5,1,0,0,0,10
2019-04-30,20,,,10,,,30
2019-05-02,1,30,31,22,,,84
2019-05-03,0,4,14,0,0,0,18
2019-05-07,,3,21,,,,24
2019-05-08,36,,,11,,,47
2019-05-09,0,0,1,0,0,0,1
2019-05-10,0,0,0,2,0,0,2
2019-05-14,7,2,0,0,0,0,9
2019-05-15,16,,,,,,16
2019-05-16,1,-2,,,,,-1
2019-05-22,7,,,,,,7
2019-05-29,35,,,,,,35
2019-04-16,0,62,0,0,0,0,62
2019-04-24,20,0,80,83,207,88,478
2019-04-25,9,30,110,121,126,0,396
2019-04-26,163,46,229,120,0,0,558
2019-04-29,301,332,362,416,186,33,1630
2019-04-30,5,253,64,64,0,0,386
2019-05-02,34,178,74,215,0,80,581
2019-05-03,51,27,33,70,0,0,181
2019-05-07,61,-1,64,33,2,91,250
2019-05-08,10,43,59,21,0,23,156
2019-05-09,38,1,19,26,0,0,84
2019-05-10,172,6,60,124,0,0,362
2019-05-13,40,2,13,75,0,0,130
2019-05-14,5,3,14,35,0,41,98
2019-05-15,3,1,1,18,,,23
2019-05-16,2,1,38,16,0,0,57
2019-05-17,16,26,32,3,0,0,77
2019-05-20,2,2,6,4,0,2,16
2019-05-21,47,2,6,2,0,0,57
2019-05-22,18,0,25,0,0,0,43
2019-05-23,7,,,2,,,9
2019-05-24,1,0,2,1,0,0,4
2019-05-27,0,0,1,4,0,0,5
2019-05-28,0,0,8,0,0,0,8
2019-05-29,24,,3,22,,,49
2019-05-30,,,2,,,,2
2019-06-03,,,5,,,,5
2019-06-07,,,5,,,,5
2019-05-22,,,3,2,,,5
2019-05-23,,,40,43,,40,123
2019-05-24,57,,24,15,,,96
2019-05-27,79,186,205,266,62,313,1111
2019-05-28,77,19,285,200,132,123,836
2019-05-29,255,57,161,167,50,48,738
2019-05-30,299,244,274,309,0,0,1126
2019-05-31,76,22,3,138,64,0,303
2019-06-03,151,21,69,58,0,0,299
2019-06-04,62,18,31,118,0,0,229
2019-06-05,71,8,9,92,51,0,231
2019-06-07,4,12,74,149,21,0,260
2019-06-10,0,89,53,100,0,0,242
2019-06-11,0,25,20,13,0,0,58
2019-06-12,0,8,9,9,0,0,26
2019-06-13,0,32,5,32,0,0,69
2019-06-14,,5,46,11,,,62
2019-06-17,0,31,32,13,0,0,76
2019-06-18,0,58,6,10,0,0,74
2019-06-19,0,41,60,32,0,0,133
2019-06-20,0,2,1,1,0,0,4
2019-06-21,0,3,0,4,0,0,7
2019-06-24,0,5,6,7,0,0,18
2019-06-25,,,1,,,,1
2019-06-26,,,1,,,,1
2019-06-27,,1,,2,,,3
2019-06-28,0,0,3,3,0,0,6
2019-07-01,,5,15,,,,20
2019-07-02,,3,,1,,,4
2019-07-03,0,0,0,0,0,0,0
2019-07-04,,40,,1,,,41
2019-07-08,,,1,,,,1
2019-07-12,0,1,0,0,0,0,1
2019-07-22,,,7,,,,7
2019-07-23,,,,44,,,44
2019-06-21,80,,40,,,,120
2019-06-24,2,1,84,35,103,123,348
2019-06-25,74,49,274,149,177,87,810
2019-06-26,61,59,78,74,63,121,456
2019-06-27,209,50,229,57,0,0,505
2019-06-28,205,204,418,165,24,74,1089
2019-07-01,169,66,86,62,0,10,393
2019-07-02,41,22,81,41,59,78,322
2019-07-03,15,37,19,43,49,33,196
2019-07-04,108,44,86,22,0,0,260
2019-07-05,56,4,121,0,0,0,181
2019-07-08,10,24,48,29,43,0,154
2019-07-09,0,4,16,23,1,0,44
2019-07-10,-41,7,106,9,0,84,165
2019-07-11,0,16,6,7,0,0,29
2019-07-12,0,3,7,10,0,10,30
2019-07-15,0,11,18,10,0,0,39
2019-07-16,,17,,16,,,33
2019-07-17,0,4,0,4,28,0,36
2019-07-18,0,11,0,19,0,0,30
2019-07-19,,9,,4,,,13
2019-07-22,0,14,0,4,0,0,18
2019-07-23,0,3,2,1,0,0,6
2019-07-24,,6,,4,,,10
2019-07-26,0,2,0,10,0,0,12
2019-07-29,,1,,,,,1
2019-07-17,,1,,,,,1
2019-07-22,,,160,,,,160
2019-07-25,172,153,132,178,0,0,635
2019-07-26,33,13,284,147,405,0,892
2019-07-29,125,18,63,51,0,0,257
2019-01-02,1,1,,,,,2
2019-01-02,1,1,5,4,,,11
2019-01-03,,1,7,,,,8
2019-01-04,,,,2,,,2
2019-01-07,,,11,4,,,15
2019-01-08,,4,,1,,,5
2019-01-09,,8,,,,,8
2019-01-10,0,0,0,10,0,0,10
2019-01-11,,1,4,,,,5
2019-01-17,,,,1,,,1
2019-01-23,1,,,4,,,5
